STATION,NAME,DATE,PRCP,SNOW,SNWD
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/1/17,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/2/17,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/3/17,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/4/17,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/5/17,0.15,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/6/17,0.38,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/7/17,0.01,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/8/17,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/9/17,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/10/17,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/11/17,0.17,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/12/17,0.22,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/13/17,1.46,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/14/17,0.02,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/15/17,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/16/17,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/17/17,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/18/17,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/19/17,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/20/17,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/21/17,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/22/17,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/23/17,1.23,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/24/17,0.7,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/25/17,0.71,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/26/17,0.01,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/27/17,0,0,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/28/17,0.03,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/29/17,0.57,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/30/17,0.09,,
US1VAYR0008,"YORKTOWN 0.5 SSE, VA US",5/31/17,0,0,